
===== spell_payoffs (49) =====
Black Waltz No. 3 | {2}{B}{R} | Legendary Creature — Wizard | incl=90.5(n=6318) | Flying, deathtouch Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent.
Black Mage's Rod | {1}{B} | Artifact — Equipment | incl=89.7(n=6261) | Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +1/+0, has "Whenever you cast a noncreature spel
Circle of Power | {3}{B} | Sorcery | incl=89.6(n=6257) | You draw two cards and you lose 2 life. Create a 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each opponent." Wizards y
Cornered by Black Mages | {1}{B}{B} | Sorcery | incl=86.7(n=6054) | Target opponent sacrifices a creature of their choice. Create a 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each oppon
Coruscation Mage | {1}{R} | Creature — Otter Wizard | incl=83.6(n=5840) | Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.) Whenever you cast a noncreature spell, th
Harmonic Prodigy | {1}{R} | Creature — Human Wizard | incl=79.1(n=5526) | Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) If a triggered ability of a Shaman or another Wizard you control triggers, that ability
Mysidian Elder | {2}{R} | Creature — Human Wizard | incl=74.7(n=5217) | When this creature enters, create a 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."
Queen Brahne | {2}{R} | Legendary Creature — Human Noble | incl=73.6(n=5141) | Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Whenever Queen Brahne attacks, create a 0/1 black Wizard creature token with "Whenever 
Guttersnipe | {2}{R} | Creature — Goblin Shaman | incl=59.4(n=4151) | Whenever you cast an instant or sorcery spell, this creature deals 2 damage to each opponent.
Artist's Talent | {1}{R} | Enchantment — Class | incl=45.7(n=3191) | (Gain the next level as a sorcery to add its ability.) Whenever you cast a noncreature spell, you may discard a card. If you do, draw a card. {2}{R}: Level 2 Noncreature spells you
Fiery Inscription | {2}{R} | Enchantment | incl=44.4(n=3103) | When this enchantment enters, the Ring tempts you. Whenever you cast an instant or sorcery spell, this enchantment deals 2 damage to each opponent.
Firebrand Archer | {1}{R} | Creature — Human Archer | incl=29.7(n=2071) | Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.
Electro, Assaulting Battery | {1}{R}{R} | Legendary Creature — Human Villain | incl=22.4(n=1565) | Flying You don't lose unspent red mana as steps and phases end. Whenever you cast an instant or sorcery spell, add {R}. When Electro leaves the battlefield, you may pay {X}. When y
Electrostatic Infantry | {1}{R} | Creature — Dwarf Wizard | incl=22.3(n=1554) | Trample Whenever you cast an instant or sorcery spell, put a +1/+1 counter on this creature.
Longshot, Rebel Bowman | {3}{R} | Legendary Creature — Human Rebel Ally | incl=17.6(n=1232) | Reach (This creature can block creatures with flying.) Noncreature spells you cast cost {1} less to cast. Whenever you cast a noncreature spell, Longshot deals 2 damage to each opp
Kessig Flamebreather | {1}{R} | Creature — Human Shaman | incl=17.1(n=1192) | Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.
Electrostatic Field | {1}{R} | Creature — Wall | incl=14.2(n=991) | Defender Whenever you cast an instant or sorcery spell, this creature deals 1 damage to each opponent.
Judith, Carnage Connoisseur | {3}{B}{R} | Legendary Creature — Human Shaman | incl=14(n=977) | Whenever you cast an instant or sorcery spell, choose one — • That spell gains deathtouch and lifelink. • Create a 2/2 red Imp creature token with "When this token dies, it deals 2
Red Mage's Rapier | {1}{R} | Artifact — Equipment | incl=13.7(n=960) | Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature has "Whenever you cast a noncreature spell, this crea
Garland, Knight of Cornelia // Chaos, the Endless | {B}{R} | Legendary Creature — Human Knight // Legendary Creature — Demon | incl=10.7(n=746) | Whenever you cast a noncreature spell, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {3}{B}{B}{R}{R}: Return this card from your graveyard 
Young Pyromancer | {1}{R} | Creature — Human Shaman | incl=10.4(n=729) | Whenever you cast an instant or sorcery spell, create a 1/1 red Elemental creature token.
Slickshot Show-Off | {1}{R} | Creature — Bird Wizard | incl=8.2(n=575) | Flying, haste Whenever you cast a noncreature spell, this creature gets +2/+0 until end of turn. Plot {1}{R} (You may pay {1}{R} and exile this card from your hand. Cast it as a so
Harnesser of Storms | {2}{R} | Creature — Otter Wizard | incl=7.4(n=514) | Whenever you cast a noncreature or Otter spell, you may exile the top card of your library. Until end of turn, you may play that card. This ability triggers only once each turn.
Goliath Daydreamer | {2}{R}{R} | Creature — Giant Wizard | incl=7.3(n=513) | Whenever you cast an instant or sorcery spell from your hand, exile that card with a dream counter on it instead of putting it into your graveyard as it resolves. Whenever this cre
Heartfire Immolator | {1}{R} | Creature — Human Wizard | incl=4.4(n=305) | Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) {R}, Sacrifice this creature: It deals damage equal to its power to target creature or 
A-Leyline of Resonance | {2}{R}{R} | Enchantment | incl=- | If this card is in your opening hand, you may begin the game with it on the battlefield. Whenever you cast an instant or sorcery spell that targets only a single creature you contr
Blazing Bomb | {R} | Creature — Elemental | incl=- | Whenever you cast a noncreature spell, if at least four mana was spent to cast it, put a +1/+1 counter on this creature. Blow Up — {T}, Sacrifice this creature: It deals damage equ
Boar-q-pine | {2}{R} | Creature — Boar Porcupine | incl=- | Whenever you cast a noncreature spell, put a +1/+1 counter on this creature.
Crackling Cyclops | {2}{R} | Creature — Cyclops Wizard | incl=- | Whenever you cast a noncreature spell, this creature gets +3/+0 until end of turn.
Crescent Island Temple | {3}{R} | Legendary Enchantment — Shrine | incl=- | When Crescent Island Temple enters, for each Shrine you control, create a 1/1 red Monk creature token with prowess. (Whenever you cast a noncreature spell, it gets +1/+1 until end 
Diary of Dreams | {2} | Artifact — Book | incl=- | Whenever you cast an instant or sorcery spell, put a page counter on this artifact. {5}, {T}: Draw a card. This ability costs {1} less to activate for each page counter on this art
Emberheart Challenger | {1}{R} | Creature — Mouse Warrior | incl=- | Haste Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Valiant — Whenever this creature becomes the target of a spell or ability you con
Expressive Firedancer | {1}{R} | Creature — Human Sorcerer | incl=- | Opus — Whenever you cast an instant or sorcery spell, this creature gets +1/+1 until end of turn. If five or more mana was spent to cast that spell, this creature also gains double
Firebending Student | {1}{R} | Creature — Human Monk | incl=- | Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Firebending X, where X is this creature's power. (Whenever this creature attacks, add X
Forum Necroscribe | {5}{B} | Creature — Troll Warlock | incl=- | Ward—Discard a card. Repartee — Whenever you cast an instant or sorcery spell that targets a creature, return target creature card from your graveyard to the battlefield.
Kuja, Genome Sorcerer // Trance Kuja, Fate Defied | {2}{B}{R} | Legendary Creature — Human Mutant Wizard // Legendary Creature — Avatar Wizard | incl=- | At the beginning of your end step, create a tapped 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each opponent." Then if
Lecturing Scornmage | {B} | Creature — Human Warlock | incl=- | Repartee — Whenever you cast an instant or sorcery spell that targets a creature, put a +1/+1 counter on this creature.
Magmablood Archaic | {2/R}{2/R}{2/R} | Creature — Avatar | incl=- | Reach, trample Converge — This creature enters with a +1/+1 counter on it for each color of mana spent to cast it. Whenever you cast an instant or sorcery spell, creatures you cont
Mai, Jaded Edge | {1}{R} | Legendary Creature — Human Noble | incl=- | Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Exhaust — {3}: Put a double strike counter on Mai. (Activate each exhaust ability only 
Melancholic Poet | {1}{B} | Creature — Elf Bard | incl=- | Repartee — Whenever you cast an instant or sorcery spell that targets a creature, each opponent loses 1 life and you gain 1 life.
Meticulous Artisan | {3}{R} | Creature — Djinn Artificer | incl=- | Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) When this creature enters, create a Treasure token. (It's an artifact with "{T}, Sacrif
Mica, Reader of Ruins | {3}{R} | Legendary Creature — Human Artificer | incl=- | Ward—Pay 3 life. (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 3 life.) Whenever you cast an instant or 
Molten-Core Maestro | {1}{R} | Creature — Goblin Bard | incl=- | Menace Opus — Whenever you cast an instant or sorcery spell, put a +1/+1 counter on this creature. If five or more mana was spent to cast that spell, add an amount of {R} equal to 
Prompto Argentum | {1}{R} | Legendary Creature — Human Scout | incl=- | Haste Selfie Shot — Whenever you cast a noncreature spell, if at least four mana was spent to cast it, create a Treasure token.
Shambling Cie'th | {2}{B} | Creature — Mutant Horror | incl=- | This creature enters tapped. Whenever you cast a noncreature spell, you may pay {B}. If you do, return this card from your graveyard to your hand.
Spinerock Tyrant | {3}{R}{R} | Creature — Dragon | incl=- | Flying Wither (This deals damage to creatures in the form of -1/-1 counters.) Whenever you cast an instant or sorcery spell with a single target, you may copy it. If you do, those 
Tackle Artist | {3}{R} | Creature — Orc Sorcerer | incl=- | Trample Opus — Whenever you cast an instant or sorcery spell, put a +1/+1 counter on this creature. If five or more mana was spent to cast that spell, put two +1/+1 counters on thi
Thunderdrum Soloist | {1}{R} | Creature — Dwarf Bard | incl=- | Reach Opus — Whenever you cast an instant or sorcery spell, this creature deals 1 damage to each opponent. If five or more mana was spent to cast that spell, this creature deals 3 
Ty Lee, Artful Acrobat | {2}{R} | Legendary Creature — Human Performer | incl=- | Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Whenever Ty Lee attacks, you may pay {1}. When you do, target creature can't block this

===== copy (10) =====
Return the Favor | {R}{R} | Instant | incl=29.1(n=2033) | Spree (Choose one or more additional costs.) + {1} — Copy target instant spell, sorcery spell, activated ability, or triggered ability. You may choose new targets for the copy. + {
Dualcaster Mage | {1}{R}{R} | Creature — Human Wizard | incl=25.3(n=1770) | Flash When this creature enters, copy target instant or sorcery spell. You may choose new targets for the copy.
A-Leyline of Resonance | {2}{R}{R} | Enchantment | incl=- | If this card is in your opening hand, you may begin the game with it on the battlefield. Whenever you cast an instant or sorcery spell that targets only a single creature you contr
Choreographed Sparks | {R}{R} | Instant | incl=- | This spell can't be copied. Choose one or both — • Copy target instant or sorcery spell you control. You may choose new targets for the copy. • Copy target creature spell you contr
Doublecast | {R}{R} | Sorcery | incl=- | When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.
Dual Strike | {R}{R} | Instant | incl=- | When you next cast an instant or sorcery spell with mana value 4 or less this turn, copy that spell. You may choose new targets for the copy. Foretell {R} (During your turn, you ma
Firebender Ascension | {1}{R} | Enchantment | incl=- | When this enchantment enters, create a 2/2 red Soldier creature token with firebending 1. Whenever a creature you control attacking causes a triggered ability of that creature to t
Mica, Reader of Ruins | {3}{R} | Legendary Creature — Human Artificer | incl=- | Ward—Pay 3 life. (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 3 life.) Whenever you cast an instant or 
Pigment Wrangler // Striking Palette | {4}{R} // {R} | Creature — Orc Sorcerer // Sorcery | incl=- | Flying This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.) // When you next cast an instant or sorcery spell this turn, 
Twinferno | {1}{R} | Instant | incl=- | Choose one — • When you cast your next instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy. • Target creature you control gains double stri

===== lands (110) =====
Command Tower |  | Land | incl=86.7(n=6053) | {T}: Add one mana of any color in your commander's color identity.
Lindblum, Industrial Regency // Mage Siege | {2}{R} | Land — Town // Instant — Adventure | incl=79.8(n=5572) | This land enters tapped. {T}: Add {R}. // Create a 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."
Blood Crypt |  | Land — Swamp Mountain | incl=50.1(n=3497) | ({T}: Add {B} or {R}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Temple of Malice |  | Land | incl=27.8(n=1939) | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {B} or {R}.
Midgar, City of Mako // Reactor Raid | {2}{B} | Land — Town // Sorcery — Adventure | incl=27.3(n=1908) | This land enters tapped. {T}: Add {B}. // You may sacrifice an artifact or creature. If you do, draw two cards. (Then exile this card. You may play the land later from exile.)
Malakir Rebirth // Malakir Mire | {B} | Instant // Land | incl=20.5(n=1433) | Choose target creature. You lose 2 life. Until end of turn, that creature gains "When this creature dies, return it to the battlefield tapped under its owner's control." // This la
Reliquary Tower |  | Land | incl=20.1(n=1401) | You have no maximum hand size. {T}: Add {C}.
Evolving Wilds |  | Land | incl=19(n=1330) | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Bloodfell Caves |  | Land | incl=17.4(n=1212) | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {B} or {R}.
Pinnacle Monk // Mystic Peak | {3}{R}{R} | Creature — Djinn Monk // Land | incl=16.6(n=1160) | Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) When this creature enters, return target instant or sorcery card from your graveyard to
Fell the Profane // Fell Mire | {2}{B}{B} | Instant // Land | incl=16.4(n=1145) | Destroy target creature or planeswalker. // As this land enters, you may pay 3 life. If you don't, it enters tapped. {T}: Add {B}.
Urborg, Tomb of Yawgmoth |  | Legendary Land | incl=13.9(n=969) | Each land is a Swamp in addition to its other land types.
Vector, Imperial Capital |  | Land — Town | incl=12.1(n=846) | This land enters tapped. {T}: Add {B} or {R}.
Terramorphic Expanse |  | Land | incl=11.8(n=822) | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Fabled Passage |  | Land | incl=10.2(n=715) | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.
Spikefield Hazard // Spikefield Cave | {R} | Instant // Land | incl=8.5(n=593) | Spikefield Hazard deals 1 damage to any target. If a permanent dealt damage this way would die this turn, exile it instead. // This land enters tapped. {T}: Add {R}.
Fire Nation Palace |  | Land | incl=8(n=560) | This land enters tapped unless you control a basic land. {T}: Add {R}. {1}{R}, {T}: Target creature you control gains firebending 4 until end of turn. (Whenever it attacks, add {R}
Cavern of Souls |  | Land | incl=7.4(n=520) | As this land enters, choose a creature type. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be
Rogue's Passage |  | Land | incl=6.6(n=461) | {T}: Add {C}. {4}, {T}: Target creature can't be blocked this turn.
Sundering Eruption // Volcanic Fissure | {2}{R} | Sorcery // Land | incl=6.5(n=453) | Destroy target land. Its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle. Creatures without flying can't block this turn
Scalding Tarn |  | Land | incl=5.4(n=376) | {T}, Pay 1 life, Sacrifice this land: Search your library for an Island or Mountain card, put it onto the battlefield, then shuffle.
Rakdos Guildgate |  | Land — Gate | incl=5.2(n=360) | This land enters tapped. {T}: Add {B} or {R}.
Ash Barrens |  | Land | incl=4.9(n=344) | {T}: Add {C}. Basic landcycling {1} ({1}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)
Phyrexian Tower |  | Legendary Land | incl=4.7(n=327) | {T}: Add {C}. {T}, Sacrifice a creature: Add {B}{B}.
Emergence Zone |  | Land | incl=4.5(n=314) | {T}: Add {C}. {1}, {T}, Sacrifice this land: You may cast spells this turn as though they had flash.
A-Thran Portal |  | Land — Gate | incl=- | As A-Thran Portal enters, choose a basic land type. Thran Portal is the chosen type in addition to its other types. Mana abilities of A-Thran Portal cost an additional 1 life to ac
Adventurer's Inn |  | Land — Town | incl=- | When this land enters, you gain 2 life. {T}: Add {C}.
Agadeem's Awakening // Agadeem, the Undercrypt | {X}{B}{B}{B} | Sorcery // Land | incl=- | Return from your graveyard to the battlefield any number of target creature cards that each have a different mana value X or less. // As this land enters, you may pay 3 life. If yo
Amonkhet Raceway |  | Land | incl=- | Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.) {T}: Add {C}. Max speed — {T}: Targ
Arena of Glory |  | Land | incl=- | This land enters tapped unless you control a Mountain. {T}: Add {R}. {R}, {T}, Exert this land: Add {R}{R}. If that mana is spent on a creature spell, it gains haste until end of t
Arid Archway |  | Land — Desert | incl=- | This land enters tapped. When this land enters, return a land you control to its owner's hand. If another Desert was returned this way, surveil 1. (Look at the top card of your lib
Avengers Tower |  | Land | incl=- | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Hero spell or to activate an ability of a Hero source. {4}, {T}: Look at the top three cards of your li
Avishkar Raceway |  | Land | incl=- | Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.) {T}: Add {C}. Max speed — {3}, {T},
Baldur's Gate |  | Legendary Land — Gate | incl=- | {T}: Add {C}. {2}, {T}: Add X mana of any one color, where X is the number of other Gates you control.
Boggart Trawler // Boggart Bog | {2}{B} | Creature — Goblin // Land | incl=- | When this creature enters, exile target player's graveyard. // As this land enters, you may pay 3 life. If you don't, it enters tapped. {T}: Add {B}.
Boiling Rock Prison |  | Land | incl=- | This land enters tapped. {T}: Add {B} or {R}. {4}, {T}, Sacrifice this land: Draw a card.
Bonders' Enclave |  | Land | incl=- | {T}: Add {C}. {3}, {T}: Draw a card. Activate only if you control a creature with power 4 or greater.
Branch of Vitu-Ghazi |  | Land | incl=- | {T}: Add {C}. Disguise {3} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.) When this land is turned face
Brass's Tunnel-Grinder // Tecutlan, the Searing Rift | {2}{R} | Legendary Artifact // Legendary Land — Cave | incl=- | When Brass's Tunnel-Grinder enters, discard any number of cards, then draw that many cards plus one. At the beginning of your end step, if you descended this turn, put a bore count
Brokers Hideout |  | Land | incl=- | When this land enters, sacrifice it. When you do, search your library for a basic Forest, Plains, or Island card, put it onto the battlefield tapped, then shuffle and you gain 1 li
Buried Ruin |  | Land | incl=- | {T}: Add {C}. {2}, {T}, Sacrifice this land: Return target artifact card from your graveyard to your hand.
Cabaretti Courtyard |  | Land | incl=- | When this land enters, sacrifice it. When you do, search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shuffle and you gain 1 
Capital City |  | Land — Town | incl=- | {T}: Add {C}. {1}, {T}: Add one mana of any color. Cycling {2} ({2}, Discard this card: Draw a card.)
Captivating Cave |  | Land — Cave | incl=- | {T}: Add {C}. {1}, {T}: Add one mana of any color. {4}, {T}, Sacrifice this land: Put two +1/+1 counters on target creature. Activate only as a sorcery.
Command Bridge |  | Land | incl=- | This land enters tapped. When this land enters, sacrifice it unless you tap an untapped permanent you control. {T}: Add one mana of any color.
Cori Mountain Monastery |  | Land | incl=- | This land enters tapped unless you control a Plains or an Island. {T}: Add {R}. {3}{R}, {T}: Exile the top card of your library. Until the end of your next turn, you may play that 
Daily Bugle Building |  | Land | incl=- | {T}: Add {C}. {1}, {T}: Add one mana of any color. Smear Campaign — {1}, {T}: Target legendary creature gains menace until end of turn. Activate only as a sorcery.
Dark Depths |  | Legendary Snow Land | incl=- | Dark Depths enters with ten ice counters on it. {3}: Remove an ice counter from Dark Depths. When Dark Depths has no ice counters on it, sacrifice it. If you do, create Marit Lage,
