# Buy-list candidates: top corpus cards not owned in paper, with the cheapest USD printing in the card DB (inc% | lift | name | min USD)
83.7 | 0.17 | Sol Ring | 1.54
81.5 | 3.60 | Nuka-Cola Vending Machine | 23.73
64.2 | 0.30 | Heroic Intervention | 14.81
61.3 | 0.07 | Beast Within | 0.60
55.5 | 3.89 | Krark-Clan Ironworks | 16.59
54.1 | 3.62 | Trail of Crumbs | 0.58
53.9 | 2.51 | The Shire | 4.01
53.6 | 0.81 | Birds of Paradise | 9.40
52.5 | 3.82 | Transmutation Font | 2.39
51.9 | 0.57 | Boseiju, Who Endures | 51.46
48.7 | 3.17 | Inventors' Fair | 18.74
47.2 | 3.77 | Feasting Hobbit | 0.40
46.9 | 1.06 | Delighted Halfling | 29.90
46.7 | 1.21 | Shifting Woodland | 6.44
46.3 | 3.93 | Fomori Vault | 13.45
46.3 | 0.90 | Finale of Devastation | 42.05
46.0 | 4.03 | Stridehangar Automaton | 2.79
45.5 | 3.56 | Feasting Troll King | 0.71
45.1 | 3.66 | Quina, Qu Gourmet | 0.26
44.9 | 0.53 | Wild Growth | 0.62
43.6 | 3.96 | Clock of Omens | 4.49
43.5 | 0.80 | Worldly Tutor | 30.60
42.7 | 3.46 | Elanor Gardner | 6.45
41.3 | 0.47 | Yavimaya, Cradle of Growth | 16.61
41.1 | 1.64 | Nature's Rhythm | 5.75
40.8 | 3.85 | Kuldotha Forgemaster | 10.79
40.7 | 0.78 | Green Sun's Zenith | 33.37
40.6 | 3.78 | Bristlebud Farmer | 1.50
40.3 | 2.45 | Honored Dreyleader | 0.70
38.9 | 3.03 | Revive the Shire | 0.62
38.0 | 1.12 | Veil of Summer | 4.40
37.4 | 3.53 | Killer Service | 0.33
37.2 | 0.64 | Crop Rotation | 3.91
36.8 | 0.58 | Nature's Claim | 1.51
36.6 | 0.74 | Krosan Grip | 1.69
36.6 | 1.61 | Parallel Lives | 38.86
36.1 | 3.66 | Inspiring Statuary | 0.38
35.6 | 1.18 | Ancient Tomb | 133.66
35.2 | 3.57 | Fangren Marauder | 0.44
34.4 | 0.04 | Fyndhorn Elves | 2.53
33.5 | 1.78 | Talon Gates of Madara | 39.37
32.7 | 1.66 | Emergence Zone | 3.93
32.6 | 0.93 | Doubling Season | 33.73
32.6 | 1.75 | Lotus Petal | ?
32.3 | 1.44 | Turntimber Symbiosis // Turntimber, Serpentine Wood | 5.79
31.8 | 1.52 | Formidable Speaker | 9.20
31.2 | 3.41 | Gourmand's Talent | 0.41
31.2 | 2.86 | Pawpatch Formation | 0.36
31.0 | 1.70 | Gemstone Caverns | 59.34
30.8 | 1.94 | Chrome Mox | 166.33
30.8 | 1.84 | Mana Vault | 120.29
30.3 | 0.11 | Arcane Signet | 0.52
29.7 | 3.29 | Mirage Mirror | 0.25
29.6 | 3.05 | Heaped Harvest | 0.27
29.6 | 2.83 | The Mycosynth Gardens | 0.34
29.5 | 2.50 | Vexing Bauble | 2.16
29.3 | 3.90 | Liberator, Urza's Battlethopter | 6.75
29.2 | 3.94 | Grinding Station | 15.86
29.2 | 3.12 | Ninja Pizza | 3.54
29.1 | 1.46 | Legolas's Quick Reflexes | 0.43
