# Top corpus cards NOT in the July Arena export (inc% | lift | name | arena_id/brawl legality)
83.7 | 0.17 | Sol Ring | arena_id=null brawl=not_legal
81.5 | 3.60 | Nuka-Cola Vending Machine | arena_id=null brawl=not_legal
55.5 | 3.89 | Krark-Clan Ironworks | arena_id=null brawl=not_legal
54.1 | 3.62 | Trail of Crumbs | arena_id=70326 brawl=legal
53.9 | 2.51 | The Shire | arena_id=84952 brawl=legal
53.6 | 0.81 | Birds of Paradise | arena_id=null brawl=legal
52.5 | 3.82 | Transmutation Font | arena_id=90689 brawl=legal
51.9 | 0.57 | Boseiju, Who Endures | arena_id=79706 brawl=legal
47.2 | 3.77 | Feasting Hobbit | arena_id=null brawl=not_legal
46.9 | 1.06 | Delighted Halfling | arena_id=84850 brawl=legal
46.7 | 1.21 | Shifting Woodland | arena_id=91079 brawl=legal
46.3 | 0.90 | Finale of Devastation | arena_id=null brawl=legal
46.2 | 2.34 | Gingerbread Cabin | arena_id=null brawl=legal
46.0 | 4.03 | Stridehangar Automaton | arena_id=null brawl=not_legal
45.5 | 3.56 | Feasting Troll King | arena_id=70299 brawl=legal
45.1 | 3.66 | Quina, Qu Gourmet | arena_id=96061 brawl=legal
44.9 | 0.53 | Wild Growth | arena_id=null brawl=not_legal
43.6 | 3.96 | Clock of Omens | arena_id=null brawl=not_legal
42.7 | 3.46 | Elanor Gardner | arena_id=84979 brawl=legal
41.3 | 0.47 | Yavimaya, Cradle of Growth | arena_id=null brawl=legal
41.1 | 1.64 | Nature's Rhythm | arena_id=95672 brawl=legal
40.8 | 3.85 | Kuldotha Forgemaster | arena_id=null brawl=not_legal
40.7 | 0.78 | Green Sun's Zenith | arena_id=null brawl=legal
40.6 | 3.78 | Bristlebud Farmer | arena_id=90678 brawl=legal
40.3 | 2.45 | Honored Dreyleader | arena_id=91714 brawl=legal
38.9 | 3.03 | Revive the Shire | arena_id=84877 brawl=legal
37.4 | 3.53 | Killer Service | arena_id=null brawl=not_legal
