# Top corpus cards NOT owned in paper (inc% | lift | name) — buy-list candidates
83.7 | 0.17 | Sol Ring
81.5 | 3.60 | Nuka-Cola Vending Machine
64.2 | 0.30 | Heroic Intervention
61.3 | 0.07 | Beast Within
55.5 | 3.89 | Krark-Clan Ironworks
54.1 | 3.62 | Trail of Crumbs
53.9 | 2.51 | The Shire
53.6 | 0.81 | Birds of Paradise
52.5 | 3.82 | Transmutation Font
51.9 | 0.57 | Boseiju, Who Endures
48.7 | 3.17 | Inventors' Fair
47.2 | 3.77 | Feasting Hobbit
46.9 | 1.06 | Delighted Halfling
46.7 | 1.21 | Shifting Woodland
46.3 | 3.93 | Fomori Vault
46.3 | 0.90 | Finale of Devastation
46.0 | 4.03 | Stridehangar Automaton
45.5 | 3.56 | Feasting Troll King
45.1 | 3.66 | Quina, Qu Gourmet
44.9 | 0.53 | Wild Growth
43.6 | 3.96 | Clock of Omens
43.5 | 0.80 | Worldly Tutor
42.7 | 3.46 | Elanor Gardner
41.3 | 0.47 | Yavimaya, Cradle of Growth
41.1 | 1.64 | Nature's Rhythm
40.8 | 3.85 | Kuldotha Forgemaster
40.7 | 0.78 | Green Sun's Zenith
40.6 | 3.78 | Bristlebud Farmer
40.3 | 2.45 | Honored Dreyleader
38.9 | 3.03 | Revive the Shire
38.0 | 1.12 | Veil of Summer
37.4 | 3.53 | Killer Service
37.2 | 0.64 | Crop Rotation
36.8 | 0.58 | Nature's Claim
36.6 | 0.74 | Krosan Grip
36.6 | 1.61 | Parallel Lives
36.1 | 3.66 | Inspiring Statuary
35.6 | 1.18 | Ancient Tomb
35.2 | 3.57 | Fangren Marauder
34.4 | 0.04 | Fyndhorn Elves
33.5 | 1.78 | Talon Gates of Madara
32.7 | 1.66 | Emergence Zone
32.6 | 0.93 | Doubling Season
32.6 | 1.75 | Lotus Petal
32.3 | 1.44 | Turntimber Symbiosis // Turntimber, Serpentine Wood
31.8 | 1.52 | Formidable Speaker
31.2 | 3.41 | Gourmand's Talent
31.2 | 2.86 | Pawpatch Formation
31.0 | 1.70 | Gemstone Caverns
30.8 | 1.94 | Chrome Mox
30.8 | 1.84 | Mana Vault
30.3 | 0.11 | Arcane Signet
29.7 | 3.29 | Mirage Mirror
29.6 | 3.05 | Heaped Harvest
29.6 | 2.83 | The Mycosynth Gardens
29.5 | 2.50 | Vexing Bauble
29.3 | 3.90 | Liberator, Urza's Battlethopter
29.2 | 3.94 | Grinding Station
29.2 | 3.12 | Ninja Pizza
29.1 | 1.46 | Legolas's Quick Reflexes
28.7 | 2.61 | Wandering Archaic // Explore the Vastlands
28.6 | 1.48 | Urza's Saga
28.3 | 0.36 | War Room
27.9 | 3.88 | Chrome Dome
27.8 | 1.93 | Mox Diamond
27.7 | 1.80 | Shared Summons
27.4 | 3.28 | Rampage of the Clans
26.9 | 0.13 | Lightning Greaves
26.2 | 2.01 | Expedition Map
26.1 | 3.92 | Shimmer Myr
25.9 | 1.43 | Noxious Revival
25.9 | 1.99 | Hickory Woodlot
25.8 | 3.66 | Sculpting Steel
25.7 | 2.36 | City of Traitors
25.7 | 0.81 | Collective Resistance
25.4 | 1.49 | The One Ring
25.4 | 1.86 | Sowing Mycospawn
25.4 | 0.04 | Harmonize
25.4 | 0.83 | Allosaurus Shepherd
25.4 | 1.21 | Obscuring Haze
25.0 | 2.55 | Fountainport
25.0 | 3.79 | Disruptor Flute
24.6 | 0.24 | Sylvan Library
24.0 | 0.61 | Gaea's Cradle
23.9 | 0.83 | Verdant Catacombs
23.9 | 3.49 | Campsite Cuisine
23.5 | 3.94 | Skittering Cicada
23.3 | 0.73 | Windswept Heath
23.2 | 4.05 | Avarice Totem
23.0 | 2.61 | Tree of Tales
23.0 | 1.29 | Summoner's Pact
22.9 | 0.79 | Sylvan Safekeeper
22.7 | 1.24 | Eldritch Evolution
22.0 | 3.81 | Provisions Merchant
21.8 | 0.14 | Tamiyo's Safekeeping
21.6 | 3.56 | Welcome to Sweettooth
21.5 | 3.71 | Damping Sphere
21.4 | -0.05 | Craterhoof Behemoth
21.1 | 1.64 | Haywire Mite
20.4 | 4.10 | Copper Gnomes
19.7 | 2.44 | Savage Summoning
19.7 | 3.11 | Soulless Jailer
19.2 | 2.18 | Plaza of Heroes
18.9 | 0.59 | Misty Rainforest
18.5 | -0.48 | Beast Whisperer
18.4 | -0.48 | Reliquary Tower
18.4 | -0.74 | Nature's Lore
17.9 | 1.54 | Crystal Vein
17.9 | 0.52 | Genesis Wave
17.8 | -0.43 | Nykthos, Shrine to Nyx
17.7 | 3.10 | Stew the Coneys
17.6 | 1.65 | Survival of the Fittest
17.5 | 3.12 | Abstergo Entertainment
17.2 | 0.03 | Bala Ged Recovery // Bala Ged Sanctuary
17.1 | 3.66 | Unwinding Clock
16.9 | 1.77 | Okina, Temple to the Grandfathers
16.7 | -0.55 | Swiftfoot Boots
16.6 | 1.63 | For the Common Good
16.5 | 3.11 | Spider Food
16.0 | -0.07 | Utopia Sprawl
