positive Standard lists: 2747

## aggro (n=86) — deployable pressure with reach and reload
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 33 | 34 | 37 | 37 | 39 | - |
| (verified copies) | 27 | 29 | 30 | 33 | 38 | - |
| pressure | 7 | 10 | 11 | 12 | 16 | 10/14 |
| reach | 0 | 4 | 12 | 15 | 18 | 7/18 |
| reload | 0 | 0 | 4 | 4 | 8 | 1/8 |
| answers | 0 | 0 | 0 | 2 | 3 | 0/3 |
| fixing | 0 | 0 | 0 | 0 | 4 | 0/4 |

## midrange (n=859) — timely threats, relevant answers, sustained value
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 33 | 34 | 36 | 38 | 38 | - |
| (verified copies) | 27 | 29 | 31 | 34 | 34 | - |
| threats | 2 | 4 | 6 | 8 | 10 | 4/10 |
| answers | 2 | 4 | 8 | 12 | 15 | 3/14 |
| value | 1 | 4 | 6 | 11 | 21 | 4/23 |
| fixing | 0 | 0 | 0 | 4 | 12 | 0/8 |

## control (n=680) — early stabilisation, advantage engine, accessible finisher
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 30 | 32 | 36 | 39 | 40 | - |
| (verified copies) | 27 | 28 | 31 | 38 | 40 | - |
| stabilisation | 6 | 7 | 8 | 10 | 12 | 6/10 |
| engine | 7 | 12 | 15 | 18 | 19 | 7/20 |
| finisher | 1 | 3 | 4 | 5 | 8 | 4/11 |
| answers | 0 | 0 | 0 | 0 | 2 | 0/2 |
| fixing | 0 | 0 | 0 | 0 | 4 | 0/4 |

## aristocrats (n=642) — sacrifice outlets converting expendable bodies into damage
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 32 | 34 | 34 | 36 | 38 | - |
| (verified copies) | 26 | 28 | 30 | 32 | 34 | - |
| outlet | 0 | 0 | 0 | 0 | 0 | 3/9 |
| payoff | 0 | 0 | 0 | 0 | 0 | 5/12 |
| fodder | 12 | 12 | 14 | 17 | 20 | 6/18 |
| value | 0 | 0 | 3 | 4 | 5 | 0/8 |
| answers | 0 | 0 | 1 | 3 | 5 | 0/5 |
| fixing | 0 | 0 | 4 | 8 | 10 | 0/8 |

## lifegain (n=36) — life gained as a resource, converted by counters or drain
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 34 | 35 | 36 | 37 | 38 | - |
| (verified copies) | 27 | 28 | 29 | 31 | 34 | - |
| payoff | 0 | 0 | 0 | 0 | 4 | 5/12 |
| gain | 9 | 9 | 9 | 10 | 11 | 8/22 |
| value | 8 | 10 | 12 | 13 | 13 | 2/10 |
| answers | 1 | 2 | 2 | 4 | 6 | 0/5 |
| fixing | 0 | 0 | 0 | 4 | 4 | 0/8 |

## spells (n=444) — cast-trigger payoffs fed by cheap instants and sorceries
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 36 | 39 | 39 | 39 | 39 | - |
| (verified copies) | 29 | 34 | 35 | 39 | 39 | - |
| payoff | 2 | 8 | 8 | 10 | 12 | 3/10 |
| closer | 3 | 4 | 5 | 6 | 18 | 2/8 |
| spells | 3 | 18 | 20 | 21 | 22 | 12/32 |
| answers | 0 | 0 | 0 | 0 | 2 | 0/8 |
| fixing | 0 | 0 | 0 | 0 | 0 | 0/10 |
