commander sample (training cohort): 1838 decks, 1838 resolved, 4 unresolved card rows, 200 distinct commanders

## aggro (n=7 of 7 with every essential present) — deployable pressure with reach and reload
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 60 | 60 | 64 | 65 | 65 | - |
| pressure | 10.0 | 11.0 | 11.0 | 12.0 | 12.0 | 10/16 (60-card) |
| reach | 4.0 | 4.0 | 4.0 | 6.0 | 6.0 | 4/18 (60-card) |
| reload | 8.0 | 8.0 | 8.0 | 11.0 | 11.0 | 1/8 (60-card) |
| answers | 3.0 | 3.0 | 3.0 | 4.0 | 4.0 | 0/3 (60-card) |
| fixing | 4.0 | 4.0 | 4.0 | 7.0 | 7.0 | 0/4 (60-card) |

## midrange (n=516 of 524 with every essential present) — timely threats, relevant answers, sustained value
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 60 | 62 | 64 | 65 | 68 | - |
| threats | 3.0 | 5.0 | 7.0 | 10.0 | 13.0 | 5/13 |
| answers | 3.0 | 4.0 | 6.0 | 8.0 | 10.0 | 4/10 |
| value | 5.0 | 7.0 | 9.0 | 12.0 | 16.0 | 7/16 |
| fixing | 4.0 | 5.0 | 8.0 | 11.0 | 14.0 | 0/8 (60-card) |

## control (n=329 of 344 with every essential present) — early stabilisation, advantage engine, accessible finisher
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 61 | 62 | 63 | 65 | 67 | - |
| stabilisation | 2.0 | 4.0 | 5.0 | 7.0 | 9.0 | 4/9 |
| engine | 4.0 | 6.0 | 9.0 | 12.0 | 16.0 | 6/16 |
| finisher | 2.0 | 3.0 | 5.0 | 7.0 | 10.0 | 3/10 |
| answers | 0.0 | 1.0 | 1.0 | 2.0 | 4.0 | 0/2 (60-card) |
| fixing | 6.0 | 8.0 | 10.0 | 13.0 | 16.0 | 0/4 (60-card) |

## aristocrats (n=121 of 192 with every essential present) — sacrifice outlets converting expendable bodies into damage
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 61 | 63 | 64 | 66 | 71 | - |
| outlet | 2.0 | 2.0 | 5.0 | 9.0 | 11.0 | 2/11 |
| payoff | 2.0 | 3.0 | 8.0 | 13.0 | 16.0 | 3/16 |
| fodder | 9.0 | 10.0 | 15.0 | 18.0 | 21.0 | 10/21 |
| value | 1.0 | 2.0 | 3.0 | 5.0 | 6.0 | 0/8 (60-card) |
| answers | 2.0 | 3.0 | 5.0 | 6.0 | 8.0 | 0/5 (60-card) |
| fixing | 2.0 | 4.0 | 5.0 | 8.0 | 10.0 | 0/8 (60-card) |

## lifegain (n=43 of 52 with every essential present) — life gained as a resource, converted by counters or drain
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 60 | 62 | 63 | 65 | 68 | - |
| payoff | 3.0 | 3.0 | 6.0 | 8.0 | 11.0 | 3/11 |
| gain | 6.0 | 9.0 | 15.0 | 19.0 | 24.0 | 9/24 |
| value | 4.0 | 6.0 | 8.0 | 10.0 | 14.0 | 6/14 |
| answers | 2.0 | 3.0 | 5.0 | 6.0 | 7.0 | 0/5 (60-card) |
| fixing | 4.0 | 5.0 | 7.0 | 11.0 | 13.0 | 0/8 (60-card) |

## spells (n=231 of 339 with every essential present) — cast-trigger payoffs fed by cheap instants and sorceries
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 61 | 63 | 64 | 68 | 73 | - |
| payoff | 1.0 | 2.0 | 4.0 | 8.0 | 12.0 | 2/12 |
| closer | 3.0 | 4.0 | 7.0 | 11.0 | 18.0 | 4/18 |
| spells | 9.0 | 12.0 | 18.0 | 23.0 | 26.0 | 12/26 |
| answers | 0.0 | 0.0 | 1.0 | 2.0 | 3.0 | 0/8 (60-card) |
| fixing | 4.0 | 6.0 | 10.0 | 13.0 | 17.0 | 0/10 (60-card) |

## recursion (n=86 of 165 with every essential present) — permanents recurred from the graveyard, and the fuel that fills it
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 60 | 62 | 63 | 65 | 66 | - |
| recursion | 1.0 | 2.0 | 3.0 | 4.0 | 7.0 | 2/7 |
| fuel | 1.0 | 2.0 | 4.0 | 8.0 | 12.0 | 2/12 |
| targets | 4.0 | 5.0 | 7.0 | 10.0 | 14.0 | 5/14 |
| value | 1.0 | 2.0 | 5.0 | 7.0 | 8.0 | 0/8 (60-card) |
| answers | 1.0 | 2.0 | 4.0 | 6.0 | 7.0 | 0/5 (60-card) |
| fixing | 4.0 | 6.0 | 8.0 | 12.0 | 15.0 | 0/8 (60-card) |

## conversion (n=38 of 40 with every essential present) — Food/Treasure/Clue produced, then spent on bodies, life or cards
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 62 | 63 | 65 | 66 | 68 | - |
| converters | 3.0 | 4.0 | 7.0 | 13.0 | 19.0 | 4/19 |
