commander sample: 2777 decks, 2777 resolved, 4 unresolved card rows

## aggro (n=8) — deployable pressure with reach and reload
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 60 | 60 | 64 | 64 | 65 | - |
| pressure | 5 | 10 | 11 | 11 | 12 | 10/16 |
| reach | 4 | 4 | 6 | 6 | 19 | 4/18 |
| reload | 8 | 8 | 8 | 11 | 13 | 1/8 |
| answers | 3 | 3 | 3 | 4 | 4 | 0/3 |
| fixing | 2 | 4 | 4 | 4 | 7 | 0/4 |

## midrange (n=752) — timely threats, relevant answers, sustained value
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 61 | 62 | 64 | 65 | 68 | - |
| threats | 5 | 7 | 9 | 13 | 16 | 4/10 |
| answers | 3 | 5 | 7 | 9 | 12 | 4/15 |
| value | 5 | 7 | 10 | 13 | 17 | 4/21 |
| fixing | 3 | 5 | 8 | 10 | 13 | 0/8 |

## control (n=510) — early stabilisation, advantage engine, accessible finisher
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 61 | 62 | 63 | 65 | 67 | - |
| stabilisation | 2 | 4 | 5 | 7 | 9 | 7/12 |
| engine | 7 | 9 | 13 | 16 | 21 | 12/19 |
| finisher | 4 | 6 | 10 | 13 | 17 | 3/8 |
| answers | 0 | 0 | 1 | 2 | 3 | 0/2 |
| fixing | 5 | 7 | 9 | 12 | 14 | 0/4 |

## aristocrats (n=292) — sacrifice outlets converting expendable bodies into damage
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 62 | 63 | 64 | 66 | 71 | - |
| outlet | 0 | 0 | 3 | 6 | 9 | 3/9 |
| payoff | 0 | 1 | 4 | 10 | 14 | 5/12 |
| fodder | 13 | 18 | 21 | 26 | 30 | 6/18 |
| value | 1 | 2 | 4 | 5 | 7 | 0/8 |
| answers | 1 | 2 | 4 | 6 | 7 | 0/5 |
| fixing | 2 | 4 | 6 | 8 | 11 | 0/8 |

