commander sample: 2777 decks, 2777 resolved, 4 unresolved card rows

## aggro (n=8) — deployable pressure with reach and reload
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 60 | 60 | 64 | 64 | 65 | - |
| pressure | 2 | 2 | 2 | 5 | 6 | 10/16 |
| reach | 0 | 0 | 1 | 2 | 2 | 4/18 |
| reload | 3 | 4 | 4 | 4 | 5 | 1/8 |
| answers | 0 | 0 | 0 | 1 | 1 | 0/3 |
| fixing | 2 | 2 | 2 | 4 | 5 | 0/4 |

## midrange (n=752) — timely threats, relevant answers, sustained value
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 61 | 62 | 64 | 65 | 68 | - |
| threats | 0 | 0 | 1 | 3 | 4 | 4/10 |
| answers | 1 | 1 | 2 | 4 | 5 | 4/15 |
| value | 1 | 2 | 3 | 5 | 8 | 4/21 |
| fixing | 2 | 3 | 5 | 7 | 10 | 0/8 |

## control (n=510) — early stabilisation, advantage engine, accessible finisher
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 61 | 62 | 63 | 65 | 67 | - |
| stabilisation | 1 | 1 | 2 | 4 | 5 | 7/12 |
| engine | 2 | 3 | 5 | 7 | 10 | 12/19 |
| finisher | 0 | 0 | 1 | 2 | 3 | 3/8 |
| answers | 0 | 0 | 0 | 0 | 1 | 0/2 |
| fixing | 3 | 4 | 7 | 9 | 11 | 0/4 |

## aristocrats (n=292) — sacrifice outlets converting expendable bodies into damage
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 62 | 63 | 64 | 66 | 71 | - |
| outlet | 0 | 0 | 1 | 4 | 6 | 3/9 |
| payoff | 0 | 0 | 1 | 3 | 5 | 5/12 |
| fodder | 2 | 5 | 9 | 15 | 19 | 6/18 |
| value | 0 | 1 | 2 | 3 | 4 | 0/8 |
| answers | 0 | 1 | 2 | 3 | 4 | 0/5 |
| fixing | 1 | 3 | 4 | 7 | 9 | 0/8 |

