name,copies,lists,status,oracle_first_80
"Path to Exile",794,794,partial,"Exile target creature. Its controller may search their library for a basic land "
"Roaming Throne",333,333,partial,"Ward {2} As this creature enters, choose a creature type. This creature is the c"
"Teferi's Protection",299,299,partial,"Until your next turn, your life total can't change and you gain protection from "
"Sheoldred, the Apocalypse",256,256,partial,"Deathtouch Whenever you draw a card, you gain 2 life. Whenever an opponent draws"
"Deflecting Swat",254,254,partial,"If you control a commander, you may cast this spell without paying its mana cost"
"Bloom Tender",238,238,partial,"Vivid — {T}: For each color among permanents you control, add one mana of that c"
"Hexing Squelcher",235,235,partial,"This spell can't be countered. Ward—Pay 2 life. Spells you control can't be coun"
"Authority of the Consuls",220,220,partial,"Creatures your opponents control enter tapped. Whenever a creature an opponent c"
"Shadowspear",217,217,partial,"Equipped creature gets +1/+1 and has trample and lifelink. {1}: Permanents your "
"Hullbreaker Horror",196,196,partial,"Flash This spell can't be countered. Whenever you cast a spell, choose up to one"
"Herald's Horn",182,182,partial,"As this artifact enters, choose a creature type. Creature spells you cast of the"
"Vandalblast",172,172,partial,"Destroy target artifact you don't control. Overload {4}{R} (You may cast this sp"
"Austere Command",169,169,partial,"Choose two — • Destroy all artifacts. • Destroy all enchantments. • Destroy all "
"Aetherize",169,169,partial,"Return all attacking creatures to their owner's hand."
"Akroma's Will",169,169,partial,"Choose one. If you control a commander as you cast this spell, you may choose bo"
"Bender's Waterskin",163,163,partial,"Untap this artifact during each other player's untap step. {T}: Add one mana of "
"Solitude",155,155,partial,"Flash Lifelink When this creature enters, exile up to one other target creature."
"The Ozolith",151,151,partial,"Whenever a creature you control leaves the battlefield, if it had counters on it"
"Solar Transformer",149,149,partial,"This artifact enters tapped. When this artifact enters, you get {E}{E}{E} (three"
"Dauthi Voidwalker",144,144,partial,"Shadow (This creature can block or be blocked by only creatures with shadow.) If"
"Unable to Scream",143,143,partial,"Enchant creature Enchanted creature loses all abilities and is a Toy artifact cr"
"Dryad of the Ilysian Grove",136,136,partial,"You may play an additional land on each of your turns. Lands you control are eve"
"Animate Dead",136,136,partial,"Enchant creature card in a graveyard When this Aura enters, if it's on the battl"
"Fury",136,136,partial,"Double strike When this creature enters, it deals 4 damage divided as you choose"
"Rhythm of the Wild",134,134,partial,"Creature spells you control can't be countered. Nontoken creatures you control h"
"Subtlety",132,132,partial,"Flash Flying When this creature enters, choose up to one target creature spell o"
"Oracle of Mul Daya",131,131,partial,"You may play an additional land on each of your turns. Play with the top card of"
"Emry, Lurker of the Loch",131,131,partial,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you "
"River's Rebuke",130,130,partial,"Return all nonland permanents target player controls to their owner's hand."
"Kami of Bamboo Groves",130,130,partial,"When Kami of Bamboo Groves enters the battlefield, you may put a land card from "
"Midnight Clock",129,129,partial,"{T}: Add {U}. {2}{U}: Put an hour counter on this artifact. At the beginning of "
"Uro, Titan of Nature's Wrath",129,129,partial,"When Uro enters, sacrifice it unless it escaped. Whenever Uro enters or attacks,"
"The Irencrag",129,129,partial,"{T}: Add {C}. Whenever a legendary creature you control enters, you may have The"
"Lórien Revealed",128,128,partial,"Draw three cards. Islandcycling {1} ({1}, Discard this card: Search your library"
"Terror of the Peaks",127,127,partial,"Flying Spells your opponents cast that target this creature cost an additional 3"
