cohort,id,commander,F,coverage,plan,plan_live,R,q_live,q_typed,q_final,q_typed_final,conc_gap,conc_share,conc_ent,role_conc,link_cons,link_u,link_typed,link_plan,cmd_link,cmd_econ,cmd_typed,cmd_member,shape_d,s_live,total,win_w,base,w_syn,cap_hard,mana_m,mv_fit,comb_qc,comb_ql
"fixture","meren-powerhouse","Meren of Clan Nel Toth|band=65-80",63.000000,0.920635,"aristocrats","aristocrats",1.000000,0.777778,0.844828,0.780000,0.847241,0.029501,0.509666,0.009867,0.075717,1.000000,1.000000,0.017241,1.000000,0.000000,0.310345,1.000000,1.000000,0.000000,100.000000,75.000000,68.700000,89.092784,17.525773,100.000000,97.800000,0.825397,0.430580,0.844828
"fixture","cabbage-cedh-input","The Cabbage Merchant|band=35-50",61.000000,0.885246,"control","control",1.000000,0.612022,0.691358,0.600000,0.677778,0.002484,0.501017,0.000803,0.136369,1.000000,1.000000,0.000000,1.000000,0.055556,0.518519,1.000000,1.000000,0.000000,0.000000,20.000000,74.300000,69.453608,17.525773,100.000000,82.500000,0.967213,0.346382,0.691358
"fixture","precon-witherbloom","Willowdusk, Essence Seer|band=40-55",59.000000,0.915254,"lifegain","lifegain",0.825000,0.813559,0.888889,0.810000,0.885000,0.118644,0.539326,0.012579,0.194274,1.000000,1.000000,0.018519,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,83.300000,54.000000,42.500000,71.291753,17.525773,100.000000,96.900000,0.949153,0.479401,0.888889
"fixture","the-cabbage-merchant","The Cabbage Merchant|band=55-70",65.000000,0.876923,"midrange","midrange",1.000000,0.666667,0.760234,0.620000,0.707018,0.033100,0.512729,0.003985,0.059828,1.000000,1.000000,0.000000,1.000000,0.052632,0.596491,1.000000,1.000000,0.000000,0.000000,20.000000,48.800000,61.257732,17.525773,100.000000,92.300000,0.938462,0.389794,0.760234
"fixture","imotekh-the-stormlord","Imotekh the Stormlord|band=45-65",64.000000,0.937500,"recursion","recursion",1.000000,0.704388,0.751347,0.700000,0.746667,0.048138,0.517689,0.007227,0.014738,1.000000,1.000000,0.000000,1.000000,0.000000,0.500000,1.000000,1.000000,0.000000,100.000000,60.000000,50.600000,75.080412,17.525773,100.000000,88.100000,0.890625,0.388964,0.751347
"fixture","tazri-beacon-of-unity","Tazri, Beacon of Unity|band=40-60",63.000000,0.857143,"typal","typal",1.000000,0.667789,0.779087,0.670000,0.781667,0.157768,0.566975,0.005383,0.158196,1.000000,1.000000,0.000000,1.000000,0.000000,0.759259,1.000000,1.000000,0.000000,0.000000,20.000000,59.800000,65.917526,17.525773,100.000000,90.400000,0.984127,0.441723,0.779087
"fixture","meren-of-clan-nel-toth","Meren of Clan Nel Toth|band=0-19",64.000000,0.921875,"aristocrats","aristocrats",1.000000,0.781250,0.847458,0.770000,0.835254,0.042456,0.513965,0.010070,0.081938,1.000000,1.000000,0.016949,1.000000,0.000000,0.305085,1.000000,1.000000,0.000000,100.000000,19.000000,68.700000,89.125773,17.525773,19.000000,97.500000,0.828125,0.435564,0.847458
"fixture","cabbage-merchant-current-brawl","The Cabbage Merchant|band=0-19",65.000000,0.876923,"tokens","tokens",0.326733,0.668718,0.762573,0.630000,0.718421,0.032354,0.512396,0.003942,0.161111,1.000000,1.000000,0.000000,1.000000,0.052632,0.596491,1.000000,1.000000,0.000000,0.000000,19.000000,85.000000,74.072165,14.432990,19.000000,95.600000,0.938462,0.390739,0.762573
"fixture","tazri-upgraded-arena","Tazri, Beacon of Unity|band=45-65",58.000000,0.913793,"tokens","tokens",0.660000,0.758621,0.830189,0.760000,0.831698,0.086207,0.530120,0.001935,0.115667,1.000000,1.000000,0.000000,1.000000,0.018868,0.792453,1.000000,1.000000,0.000000,66.700000,68.000000,92.200000,77.664948,14.432990,100.000000,60.400000,1.000000,0.440100,0.830189
"fixture","kuja-genome-sorcerer-arena","Kuja, Genome Sorcerer // Trance Kuja, Fate Defied|band=60-80",64.000000,0.906250,"spells","spells",1.000000,0.782986,0.863985,0.780000,0.860690,0.079861,0.526869,0.004889,0.085930,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,71.000000,63.700000,86.908247,14.432990,100.000000,90.000000,0.937500,0.455207,0.863985
"fixture","vivi-battery-arena","A-Vivi Ornitier|band=70-85",70.000000,0.900000,"spells","spells",1.000000,0.762049,0.846721,0.760000,0.844444,0.202597,0.576654,0.007887,0.269925,0.000000,0.000000,0.000000,0.000000,0.000000,0.269841,1.000000,1.000000,0.000000,96.600000,76.000000,69.500000,89.179381,14.432990,100.000000,87.800000,0.957143,0.488265,0.000000
"fixture","fire-lord-azula-competitive","Fire Lord Azula|band=75-90",66.000000,0.833333,"spells","spells",0.990000,0.704545,0.845455,0.700000,0.840000,0.138889,0.554672,0.011676,0.212243,0.500000,0.500000,0.018182,0.500000,0.000000,0.200000,1.000000,1.000000,0.000000,0.000000,20.000000,83.600000,75.595876,14.432990,100.000000,83.500000,0.954545,0.468950,0.422727
"fixture","cedhtop16-ballooncon6","Thrasios, Triton Hero|band=80-95",70.000000,0.928571,"spells","combo",0.495000,0.709524,0.764103,0.730000,0.786154,0.219048,0.591270,0.013908,0.306531,1.000000,1.000000,0.000000,1.000000,0.046154,0.538462,1.000000,0.000000,0.000000,100.000000,91.000000,90.500000,91.096907,17.525773,100.000000,93.800000,0.971429,0.451791,0.764103
"fixture","standard-1445893-univerce","|band=70-90",39.000000,1.000000,"midrange","midrange",1.000000,0.871795,0.871795,0.870000,0.870000,0.000000,0.500000,0.000367,0.022876,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,73.000000,85.000000,79.663043,13.043478,100.000000,65.800000,1.000000,0.435897,0.871795
"fixture","standard-1445867-aljce","|band=65-90",36.000000,0.888889,"midrange","midrange",1.000000,0.777778,0.875000,0.780000,0.877500,0.000000,0.500000,0.003360,0.034220,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,68.000000,60.100000,79.326087,13.043478,100.000000,75.100000,1.000000,0.437500,0.875000
"cedh","cedh-0","Thrasios, Triton Hero|band=80-95",70.000000,0.928571,"tokens","control",0.495000,0.519048,0.558974,0.390000,0.420000,0.042857,0.521531,0.001839,0.098196,1.000000,1.000000,0.030769,1.000000,0.061538,0.600000,1.000000,1.000000,0.000000,0.000000,20.000000,72.000000,68.342268,17.525773,100.000000,90.800000,0.985714,0.291523,0.558974
