cohort,id,commander,F,coverage,plan,plan_live,R,q_live,q_typed,q_final,q_typed_final,conc_gap,conc_share,conc_ent,role_conc,link_cons,link_u,link_typed,link_plan,cmd_link,cmd_econ,cmd_typed,cmd_member,shape_d,s_live,total,win_w,base,w_syn,cap_hard,mana_m,mv_fit,comb_qc,comb_ql
"real","380052522","Witherbloom, the Balancer",66.000000,0.848485,"aristocrats","aristocrats",0.990000,0.606061,0.714286,0.610000,0.718929,0.015152,0.506329,0.003797,0.102391,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,19.000000,85.000000,57.471134,14.432990,19.000000,73.200000,0.833333,0.361664,0.714286
"real","381158609","Quintorius, History Chaser",60.000000,0.716667,"control","control",0.990000,0.550000,0.767442,0.500000,0.697674,0.033333,0.515625,0.001019,0.192973,1.000000,1.000000,0.023256,1.000000,0.000000,0.000000,0.000000,1.000000,-0.075217,0.000000,20.000000,62.000000,70.096907,14.432990,100.000000,87.900000,0.983333,0.395712,0.767442
"real","380052515","Kefka, Court Mage // Kefka, Ruler of Ruin",60.000000,0.800000,"spells","spells",1.000000,0.616667,0.770833,0.620000,0.775000,0.122222,0.555000,0.004133,0.282717,1.000000,1.000000,0.000000,1.000000,0.000000,0.458333,1.000000,0.000000,,0.000000,20.000000,65.200000,69.924742,14.432990,100.000000,83.100000,0.916667,0.427813,0.770833
"real","376088969","Y'shtola, Night's Blessed",63.000000,0.730159,"control","control",1.000000,0.497354,0.681159,0.470000,0.643696,0.031746,0.516484,0.004811,0.044844,1.000000,0.000000,0.000000,1.000000,0.000000,0.391304,1.000000,1.000000,0.006395,0.000000,20.000000,87.700000,75.311340,14.432990,100.000000,88.500000,1.000000,0.351808,0.681159
"real","368543155","Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel",62.000000,0.919355,"aristocrats","aristocrats",1.000000,0.870968,0.947368,0.870000,0.946316,0.145161,0.545455,0.005896,0.117729,1.000000,1.000000,0.052632,1.000000,0.000000,0.000000,0.000000,0.000000,,100.000000,77.000000,71.500000,87.091753,14.432990,100.000000,92.000000,0.935484,0.516746,0.947368
"real","372197972","Terra, Magical Adept // Esper Terra",60.000000,0.550000,"control","recursion",0.247500,0.333333,0.606061,0.320000,0.581818,0.011111,0.508475,0.002996,0.071022,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.010900,0.000000,20.000000,92.200000,72.806186,14.432990,100.000000,91.100000,0.966667,0.308166,0.606061
"real","363658992","Atraxa, Praetors' Voice",61.000000,0.704918,"midrange","combo",0.198000,0.442623,0.627907,0.460000,0.652558,0.010929,0.506250,0.002186,0.027920,1.000000,1.000000,0.000000,1.000000,0.000000,0.186047,1.000000,1.000000,,22.300000,19.000000,78.800000,75.809278,14.432990,19.000000,86.800000,0.950820,0.317878,0.627907
"real","374689399","Nashi, Illusion Gadgeteer",64.000000,0.640625,"spells","spells",0.990000,0.562500,0.878049,0.560000,0.874146,0.109375,0.553846,0.004385,0.362766,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.200774,0.000000,20.000000,94.000000,78.230928,14.432990,100.000000,83.200000,0.953125,0.486304,0.878049
"real","348695297","Professor Dellian Fel",66.000000,0.787879,"midrange","combo",0.618750,0.626263,0.794872,0.390000,0.495000,0.000000,0.500000,0.004739,0.041356,1.000000,1.000000,0.000000,1.000000,0.000000,0.384615,1.000000,1.000000,,2.700000,22.000000,75.800000,73.270103,14.432990,100.000000,80.200000,0.893939,0.397436,0.794872
"real","377673970","Yuriko, the Tiger's Shadow",60.000000,0.766667,"midrange","recursion",0.396000,0.466667,0.608696,0.450000,0.586957,0.011111,0.506024,0.000314,0.098977,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.133792,0.000000,20.000000,77.500000,69.238144,14.432990,100.000000,72.300000,0.866667,0.308015,0.608696
"real","372944767","Spider-Man 2099",64.000000,0.625000,"midrange","midrange",0.594000,0.421875,0.675000,0.420000,0.672000,0.026042,0.515924,0.000813,0.159477,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,19.000000,70.700000,73.449485,14.432990,19.000000,93.200000,0.968750,0.348248,0.675000
"real","362546897","Hei Bai, Forest Guardian",59.000000,0.864407,"midrange","midrange",1.000000,0.610169,0.705882,0.610000,0.705686,0.026023,0.510894,0.007840,0.056041,1.000000,1.000000,0.000000,1.000000,0.000000,0.372549,1.000000,1.000000,0.091375,0.000000,20.000000,73.800000,71.193814,14.432990,100.000000,86.500000,0.966102,0.360631,0.705882
"real","374717371","Blech, Loafing Pest",63.000000,0.904762,"aristocrats","aristocrats",0.990000,0.761905,0.842105,0.760000,0.840000,0.015873,0.505263,0.003403,0.140086,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,100.000000,19.000000,92.200000,90.105155,14.432990,19.000000,92.500000,0.920635,0.425485,0.842105
"real","367997065","Glarb, Calamity's Augur",56.000000,0.767857,"aristocrats","aristocrats",0.990000,0.625000,0.813953,0.630000,0.820465,0.017857,0.507246,0.003973,0.099152,1.000000,1.000000,0.023256,1.000000,0.000000,0.418605,1.000000,1.000000,-0.025090,0.000000,20.000000,75.800000,65.509278,14.432990,100.000000,50.100000,0.910714,0.412875,0.813953
"real","360764437","Quandrix, the Proof",61.000000,0.737705,"spells","control",0.742500,0.590164,0.800000,0.350000,0.474444,0.114754,0.553846,0.011392,0.227330,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,20.000000,77.500000,71.623711,14.432990,100.000000,99.000000,0.770492,0.443077,0.000000
"real","366610508","Tifa Lockhart",58.000000,0.844828,"spells","spells",0.247500,0.724138,0.857143,0.720000,0.852245,0.396552,0.688525,0.066151,0.404829,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.160571,0.000000,20.000000,70.300000,61.626804,14.432990,100.000000,60.600000,1.000000,0.590164,0.857143
"real","372944774","Toph, the First Metalbender",58.000000,0.810345,"counters","counters",0.660000,0.655172,0.808511,0.660000,0.814468,0.063218,0.525346,0.004502,0.040139,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,20.000000,80.500000,70.970103,14.432990,100.000000,75.500000,0.913793,0.424748,0.808511
"real","380161594","Kotis, the Fangkeeper",58.000000,0.810345,"midrange","control",0.198000,0.448276,0.553191,0.370000,0.456596,0.074713,0.545455,0.005970,0.153486,1.000000,1.000000,0.000000,1.000000,0.000000,0.170213,1.000000,1.000000,0.129622,0.000000,20.000000,70.300000,62.884536,14.432990,100.000000,56.900000,0.948276,0.301741,0.553191
"real","380161582","Giada, Font of Hope",60.000000,0.650000,"typal","typal",1.000000,0.550000,0.846154,0.550000,0.846154,0.133333,0.568966,0.008870,0.068334,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,20.000000,87.700000,66.873196,14.432990,100.000000,86.500000,0.933333,0.481432,0.846154
