cohort,id,commander,F,coverage,plan,plan_live,R,q_live,q_typed,q_final,q_typed_final,conc_gap,conc_share,conc_ent,role_conc,link_cons,link_u,link_typed,link_plan,cmd_link,cmd_econ,cmd_typed,cmd_member,shape_d,s_live,total,win_w,base,w_syn,cap_hard,mana_m,mv_fit,comb_qc,comb_ql
"real","381413007","Witherbloom, the Balancer",61.000000,0.819672,"tokens","tokens",0.495000,0.592648,0.723030,0.590000,0.719800,0.032290,0.514003,0.005466,0.092473,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,20.000000,0.000000,50.964948,17.525773,100.000000,93.200000,0.803279,0.371639,0.723030
"real","381392623","The Ur-Dragon",64.000000,0.640625,"typal","typal",1.000000,0.562500,0.878049,0.560000,0.874146,0.171875,0.590164,0.015717,0.179055,1.000000,1.000000,0.000000,1.000000,0.024390,0.707317,1.000000,1.000000,,0.000000,20.000000,71.900000,60.509278,17.525773,100.000000,74.500000,0.812500,0.518193,0.878049
"real","381414287","Krenko, Mob Boss",67.000000,0.761194,"typal","typal",1.000000,0.432836,0.568627,0.430000,0.564902,0.076617,0.548550,0.026609,0.237084,1.000000,1.000000,0.019608,1.000000,0.000000,0.607843,1.000000,1.000000,,0.000000,20.000000,64.400000,52.222680,17.525773,100.000000,20.200000,0.985075,0.311920,0.568627
"real","381392112","Sauron, the Dark Lord",62.000000,0.629032,"recursion","control",0.594000,0.500000,0.794872,0.350000,0.556410,0.048387,0.525424,0.005506,0.073341,1.000000,1.000000,0.025641,1.000000,0.000000,0.564103,1.000000,1.000000,0.152365,0.000000,19.000000,54.500000,66.455670,17.525773,19.000000,97.700000,0.887097,0.417645,0.794872
"real","381393467","Rograkh, Son of Rohgahh",73.000000,0.835616,"spells","combo",0.396000,0.554795,0.663934,0.580000,0.694098,0.084475,0.541203,0.020821,0.352027,0.500000,0.500000,0.016393,0.500000,0.000000,0.065574,1.000000,0.000000,,66.900000,19.000000,89.500000,78.914433,17.525773,19.000000,72.800000,0.917808,0.359323,0.331967
"real","381415150","Hearthhull, the Worldseed",62.000000,0.838710,"tokens","control",0.330000,0.532258,0.634615,0.460000,0.548462,0.016129,0.507692,0.002205,0.105508,1.000000,1.000000,0.019231,1.000000,0.000000,0.346154,1.000000,1.000000,,0.000000,20.000000,59.800000,62.026804,17.525773,100.000000,83.500000,0.870968,0.322189,0.634615
"real","381395010","Cloud, Ex-SOLDIER",65.000000,0.753846,"tokens","control",0.330000,0.384615,0.510204,0.310000,0.411224,0.046154,0.531915,0.002563,0.124463,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,20.000000,69.900000,65.653608,17.525773,100.000000,83.100000,0.923077,0.271385,0.510204
"real","381409987","Pantlaza, Sun-Favored",62.000000,0.758065,"control","typal",1.000000,0.661290,0.872340,0.660000,0.870638,0.134409,0.556561,0.006415,0.052364,1.000000,1.000000,0.000000,1.000000,0.000000,0.553191,1.000000,1.000000,0.013779,0.000000,19.000000,68.700000,64.571134,17.525773,19.000000,77.100000,0.903226,0.485511,0.872340
"real","381391384","Ashling, the Limitless",63.000000,0.730159,"typal","typal",0.990000,0.619048,0.847826,0.620000,0.849130,0.079365,0.534247,0.019060,0.213696,1.000000,1.000000,0.021739,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,20.000000,64.400000,53.346392,17.525773,100.000000,65.200000,0.873016,0.452948,0.847826
"real","381393548","Kaalia of the Vast",64.000000,0.687500,"recursion","recursion",0.990000,0.375000,0.545455,0.380000,0.552727,0.015625,0.510638,0.003502,0.036087,1.000000,1.000000,0.022727,1.000000,0.000000,0.000000,0.000000,1.000000,0.078140,0.000000,20.000000,68.700000,54.004124,17.525773,100.000000,57.200000,0.718750,0.278530,0.545455
