matched Commander negative controls: n=200, offset 2000, seed 0xf0080000, coverage target 0.930

| family | selectable n | Q p50 | Q p90 | Q p95 (= floor) | Q p99 | Q max | frozen |
|---|---:|---:|---:|---:|---:|---:|---:|
| aristocrats | 1 | 0.441 | 0.441 | 0.441 | 0.441 | 0.441 | 0.300 |
| lifegain | 8 | 0.472 | 0.486 | 0.540 | 0.540 | 0.540 | 0.300 |
| spells | 119 | 0.354 | 0.410 | 0.419 | 0.435 | 0.438 | 0.300 |
| recursion | 3 | 0.373 | 0.434 | 0.434 | 0.434 | 0.434 | 0.300 |
| conversion | 137 | 0.465 | 0.511 | 0.533 | 0.552 | 0.563 | 0.300 |
| tokens | 189 | 0.449 | 0.493 | 0.508 | 0.538 | 0.559 | 0.300 |
| counters | 7 | 0.482 | 0.496 | 0.496 | 0.496 | 0.496 | 0.300 |
| typal | 0 | - | - | - | - | - | 0.300 |
| ALL ENGINE (max per pile) | 200 | 0.469 | 0.516 | 0.533 | 0.552 | 0.563 | - |
| GENERIC (max per pile) | 200 | 0.500 | 0.556 | 0.574 | 0.593 | 0.597 | 0.542 |
