matched Commander negative controls: n=1000, offset 0, seed 0x5eed0000, coverage target 0.930

| family | selectable n | Q p50 | Q p90 | Q p95 (= floor) | Q p99 | Q max | frozen |
|---|---:|---:|---:|---:|---:|---:|---:|
| aristocrats | 132 | 0.429 | 0.489 | 0.507 | 0.548 | 0.571 | 0.559 |
| lifegain | 620 | 0.403 | 0.508 | 0.531 | 0.557 | 0.587 | 0.559 |
| spells | 966 | 0.417 | 0.523 | 0.554 | 0.593 | 0.623 | 0.559 |
| recursion | 143 | 0.394 | 0.507 | 0.521 | 0.581 | 0.603 | 0.559 |
| conversion | 667 | 0.459 | 0.516 | 0.525 | 0.547 | 0.569 | 0.559 |
| tokens | 861 | 0.426 | 0.507 | 0.523 | 0.540 | 0.574 | 0.559 |
| counters | 569 | 0.475 | 0.530 | 0.540 | 0.559 | 0.590 | 0.559 |
| typal | 65 | 0.444 | 0.508 | 0.517 | 0.540 | 0.590 | 0.559 |
| ALL ENGINE (max per pile) | 1000 | 0.480 | 0.540 | 0.559 | 0.594 | 0.623 | - |
| GENERIC (max per pile) | 1000 | 0.458 | 0.530 | 0.542 | 0.581 | 0.655 | 0.542 |
| JOINT (max over all recipes) | 1000 | 0.485 | 0.549 | 0.568 | 0.597 | 0.655 | - |
