## §10.4 gaming probes — commander training stride (1797 fully resolved lists)

Allowance for the WHOLE k-copy edit: max +0 S (1e-6), +1 displayed total,
+1 unrounded rank and +1 displayed rank (§10.9 item 5).
`rank absent` counts edits where one endpoint left the rank domain: no
numeric rank delta exists there, so it is counted, never graded as 0.
`swap-lands` and `metadata` are equivalences: |ΔS| and |Δtotal| must be 0.
`add-ramp-unmatched` is an UNMATCHED edit: extra ramp can be a real mana
upgrade, so its movement is reported, not graded.
The `ΔU>0` columns hold the lists where the edit raised the §10.2 useful
mass itself — a real assignment gain, reported and excluded from grading.
`repaired` counts edits that removed a card the deck was ILLEGAL for:
lifting a rule failure is a benefit, so those totals are not graded.

| probe | k | lists | skipped | max ΔS | max ΔT_abs | max Δtotal | max Δrank | max Δrank shown | S viol | total viol | rank viol | rank absent | repaired | ΔU>0 | max ΔU | max ΔS there | worst lists |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---|
| delete-offplan-typed | 1 | 1662 | 135 | 0.00 | 4.56 | 5 | 15.96 | 16 | 0 | 8+ | 8+ | 303 | 6 | 0 | 0.0 | 0.0 | 381395465(rank+2.23/disp+2) 381390158(rank+2.47/disp+3) 381371853(rank+15.96/disp+16) |
| delete-offplan-typed | 5 | 545 | 1252 | 0.00 | 8.64 | 9 | 10.06 | 11 | 0 | 8+ | 7 | 93 | 4 | 0 | 0.0 | 0.0 | 381390158(rank+4.89/disp+5) 381156409(rank+2.66/disp+2) 381363050(rank+1.69/disp+2) |
| delete-offplan-typed | 10 | 79 | 1718 | 0.00 | 13.28 | 14 | 9.10 | 10 | 0 | 1 | 2 | 11 | 0 | 0 | 0.0 | 0.0 | 381372190(rank+9.10/disp+10) 370734291(rank+3.11/disp+3) |
| replace-offplan-unknown | 1 | 1662 | 135 | 0.00 | 4.56 | 5 | 15.96 | 16 | 0 | 2 | 3 | 303 | 6 | 0 | 0.0 | 0.0 | 381371853(rank+15.96/disp+16) 381364921(rank+6.54/disp+7) 381152421(rank+3.94/disp+4) |
| replace-offplan-unknown | 5 | 545 | 1252 | 0.00 | 1.34 | 1 | 0.47 | 1 | 0 | 0 | 0 | 93 | 4 | 0 | 0.0 | 0.0 | — |
| replace-offplan-unknown | 10 | 79 | 1718 | 0.00 | 0.16 | 0 | 3.11 | 3 | 0 | 0 | 1 | 11 | 0 | 0 | 0.0 | 0.0 | 370734291(rank+3.11/disp+3) |
| add-untyped | 1 | 1797 | 0 | 0.00 | 0.32 | 1 | 0.36 | 0 | 0 | 0 | 0 | 1786 | 0 | 0 | 0.0 | 0.0 | — |
| add-untyped | 5 | 1797 | 0 | 0.00 | 0.32 | 1 | 1.49 | 1 | 0 | 0 | 1 | 1791 | 0 | 2 | 2.0 | 0.4 | 381199063(rank+1.49/disp+1) |
| add-untyped | 10 | 1797 | 0 | 0.00 | 2.08 | 2 | 11.14 | 11 | 0 | 1 | 1 | 1788 | 0 | 5 | 3.0 | 0.0 | 381199063(rank+11.14/disp+11) |
| add-saturated-staples | 1 | 1778 | 19 | 0.00 | 2.40 | 3 | 1.61 | 2 | 0 | 1 | 1 | 1660 | 0 | 108 | 1.0 | 1.8 | 378808542(rank+1.61/disp+2) |
| add-saturated-staples | 5 | 1778 | 19 | 0.00 | 0.00 | 0 | 0.00 | 0 | 0 | 0 | 0 | 1527 | 0 | 250 | 6.0 | 11.2 | — |
| add-saturated-staples | 10 | 1777 | 20 | 0.00 | 0.00 | 0 | 0.00 | 0 | 0 | 0 | 0 | 1488 | 0 | 288 | 10.0 | 13.8 | — |
| add-ramp-unmatched | 1 | 1797 | 0 | 0.00 | 0.00 | 0 | 0.00 | 0 | 0 | 0 | 0 | 224 | 0 | 1571 | 4.0 | 8.9 | — |
| add-ramp-unmatched | 5 | 1797 | 0 | 0.00 | 0.00 | 0 | 0.00 | 0 | 0 | 0 | 0 | 22 | 0 | 1775 | 8.0 | 15.4 | — |
| add-ramp-unmatched | 10 | 1797 | 0 | 0.00 | 0.00 | 0 | 0.00 | 0 | 0 | 0 | 0 | 16 | 0 | 1781 | 22.9 | 45.0 | — |
| swap-lands | 1 | 1708 | 89 | 0.00 | 0.00 | 0 | 0.00 | 0 | 0 | 0 | 0 | 297 | 0 | 0 | 0.0 | 0.0 | — |
| swap-lands | 5 | 1647 | 150 | 0.00 | 0.00 | 0 | 0.00 | 0 | 0 | 0 | 0 | 282 | 0 | 0 | 0.0 | 0.0 | — |
| swap-lands | 10 | 1467 | 330 | 0.00 | 0.00 | 0 | 0.00 | 0 | 0 | 0 | 0 | 250 | 0 | 0 | 0.0 | 0.0 | — |
| metadata | - | 1797 | 0 | 0.00 | 0.00 | 0 | 0.00 | 0 | 0 | 0 | 0 | 337 | 0 | 0 | 0.0 | 0.0 | — |
